,allInPings,assistMePings,assists,baitPings,baronKills,bountyLevel,champExperience,champLevel,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodKill,firstTowerKill,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,itemsPurchased,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,sightWardsBoughtInGame,summonerLevel,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
263,1.0,2.0,16,3.0,0,1,44816,11.8,14.0,21,2021.0,8230,2021,62399,0.0,32,0,2,0,19.0,4.0,False,False,5.0,35865,33785,0.0,0,0.0,5.0,86,1,12,888,5,6,452.8,174100,22423,19991,0.0,86,0,5.0,0.0,0,20.0,0,111077,18139,71967,0.0,0,0,199.8,73,1416.0,0.0,348073,43058,0,94208,0.0,15527,272,445,1005,734,6,0,62893,2492,2245,0,0.0,40.0,0,0.0,93,2,15,0,False
264,1.0,3.0,27,2.0,0,0,69996,15.2,14.0,22,7076.0,35680,7076,108504,0.0,50,7,2,2,44.0,5.0,True,False,29.0,57950,56643,0.0,0,0.0,10.0,110,7,29,4792,14,6,578.8,306308,46926,61213,0.0,86,0,5.0,0.0,0,14.0,0,316502,32443,64613,0.0,0,0,257.8,167,2024.0,57.0,694552,85588,1626,132356,8.0,21452,1479,689,1624,1481,17,0,71740,6214,6524,2,2.0,55.0,0,0.0,123,8,4,58,False
265,7.0,5.0,55,0.0,1,7,81291,16.6,43.0,11,22052.0,84164,22052,92668,0.0,31,1,6,2,22.0,4.0,False,False,16.0,71078,63560,0.0,2,7.0,0.0,93,11,50,1645,24,10,530.2,288898,59385,50568,0.0,196,1,0.0,3.0,0,93.0,0,416913,42780,64255,3.0,0,0,183.6,76,2024.0,98.0,783354,108694,0,122034,57.0,36957,533,584,983,824,7,0,77537,6526,7207,11,20.0,10.0,0,0.0,109,2,13,43,True
266,0.0,0.0,30,0.0,0,12,49472,12.4,0.0,21,9897.0,55081,9897,42572,0.0,7,10,1,3,0.0,0.0,True,True,0.0,42584,36000,0.0,0,0.0,0.0,74,6,28,356,22,6,651.0,175052,39918,14204,0.0,142,0,0.0,0.0,0,0.0,0,233755,27091,37318,0.0,0,0,198.4,187,1403.0,0.0,430570,68756,970,55266,0.0,19846,148,433,931,177,6,0,21760,1744,3742,5,9.0,0.0,0,0.0,122,10,11,53,True
267,0.0,0.0,5,0.0,0,0,39216,10.8,0.0,8,567.0,16303,567,45766,0.0,28,0,0,0,0.0,0.0,False,False,0.0,30701,29285,0.0,0,0.0,0.0,65,1,7,549,2,3,466.0,45137,12584,40675,0.0,85,0,0.0,0.0,0,0.0,0,198017,18471,46015,0.0,0,0,142.2,52,1403.0,0.0,278216,34801,0,88436,0.0,16989,1192,321,702,548,7,0,35059,3742,1744,0,0.0,25.0,0,0.0,64,0,6,42,False
268,1.0,19.0,41,0.0,0,0,71425,15.2,69.0,15,10525.0,35874,10525,164888,0.0,60,9,3,0,23.0,0.0,False,False,15.0,62771,62785,0.0,1,2.0,10.0,119,8,29,387,15,7,474.8,418059,80604,62236,0.0,152,0,5.0,0.0,0,16.0,0,308174,45037,91656,0.0,0,0,73.6,200,2206.0,119.0,800121,131552,1838,164582,1.0,29786,631,626,2344,1901,9,0,73883,5905,10684,4,7.0,45.0,0,0.0,154,9,11,92,False
269,4.0,38.0,74,0.0,1,12,89589,17.2,49.0,15,15553.0,99649,15553,204453,0.0,29,2,9,5,55.0,2.0,True,True,11.0,78029,74100,0.0,2,3.0,5.0,118,12,60,1403,29,8,817.6,287092,59705,84667,0.0,202,1,0.0,3.0,0,21.0,0,482433,67726,95453,3.0,0,0,73.2,142,2206.0,116.0,843324,137870,841,186028,30.0,79760,2256,606,1079,921,16,0,73795,10435,5904,9,20.0,25.0,0,0.0,134,2,19,53,True
270,0.0,1.0,62,0.0,0,0,58481,13.6,22.0,15,9053.0,53085,9053,118906,0.0,49,5,2,3,4.0,1.0,True,False,0.0,54897,51510,0.0,0,0.0,15.0,99,12,38,4088,13,6,584.6,237315,76811,56193,0.0,69,0,5.0,0.0,0,19.0,0,185424,29215,105559,0.0,0,0,126.0,89,1847.0,0.0,470489,110202,0,167957,0.0,58645,974,466,1079,1360,12,0,47745,4172,6199,2,2.0,55.0,0,0.0,80,5,9,37,False
271,0.0,5.0,68,0.0,1,12,73444,15.4,7.0,32,22065.0,65730,22065,116014,0.0,38,18,9,1,38.0,7.0,False,False,1.0,68291,58983,5.0,3,4.0,0.0,122,8,49,912,21,9,601.8,247462,55317,79825,1.0,175,1,0.0,3.0,0,9.0,0,419138,81150,63270,1.0,0,0,342.2,155,1847.0,0.0,703115,142069,137,146761,0.0,66570,1657,508,1303,1044,13,3,36514,5597,3662,11,14.0,10.0,0,0.0,156,23,10,69,True
272,0.0,4.0,45,0.0,0,6,53958,13.0,7.0,10,24166.0,56878,24166,104710,0.0,26,4,6,1,1.0,0.0,True,False,2.0,53304,45350,0.0,1,5.0,0.0,86,11,36,1540,11,7,619.4,101403,16260,38143,0.0,113,1,0.0,4.0,0,8.0,0,354554,58430,62333,0.0,0,0,391.6,94,1574.0,81.0,496631,79911,0,103483,8.0,24768,2270,453,863,692,10,2,40670,5219,3004,9,25.0,5.0,0,0.0,107,4,9,49,True
